Username,Password,URL
enghinf20a,782211f1,http://example.org/sso/enghinf20a/782211f1/
enghinf20b,1816c792,http://example.org/sso/enghinf20b/1816c792/
enghinf20c,9d7c8d12,http://example.org/sso/enghinf20c/9d7c8d12/
enghinf20d,56f502ac,http://example.org/sso/enghinf20d/56f502ac/
enghinf20e,dd20a708,http://example.org/sso/enghinf20e/dd20a708/
enghinf20f,c4427c48,http://example.org/sso/enghinf20f/c4427c48/
enghinf210,bca599e9,http://example.org/sso/enghinf210/bca599e9/
enghinf211,97e886e6,http://example.org/sso/enghinf211/97e886e6/
enghinf212,a4ca9ffc,http://example.org/sso/enghinf212/a4ca9ffc/
enghinf213,dd811415,http://example.org/sso/enghinf213/dd811415/
enghinf214,374a570e,http://example.org/sso/enghinf214/374a570e/
engitaf201,4f4eebc9,http://example.org/sso/engitaf201/4f4eebc9/
engitaf202,0a7b825a,http://example.org/sso/engitaf202/0a7b825a/
engitaf203,a5be42c3,http://example.org/sso/engitaf203/a5be42c3/
engitaf204,1abc95f5,http://example.org/sso/engitaf204/1abc95f5/
engitaf205,cec90af0,http://example.org/sso/engitaf205/cec90af0/
engitaf206,2ef7a2bc,http://example.org/sso/engitaf206/2ef7a2bc/
engitaf207,8a36693e,http://example.org/sso/engitaf207/8a36693e/
engitaf208,5ab9428b,http://example.org/sso/engitaf208/5ab9428b/
engitaf209,4e34456b,http://example.org/sso/engitaf209/4e34456b/
engitaf20a,90ec328f,http://example.org/sso/engitaf20a/90ec328f/
engitaf20b,da12ed88,http://example.org/sso/engitaf20b/da12ed88/
engitaf20c,1d29ae89,http://example.org/sso/engitaf20c/1d29ae89/
engitaf20d,dd166df0,http://example.org/sso/engitaf20d/dd166df0/
engitaf20e,f00e9d68,http://example.org/sso/engitaf20e/f00e9d68/
engjpnf201,ab822449,http://example.org/sso/engjpnf201/ab822449/
engjpnf202,d06d23f3,http://example.org/sso/engjpnf202/d06d23f3/
engjpnf203,cd1d8e32,http://example.org/sso/engjpnf203/cd1d8e32/
engjpnf204,f210b80a,http://example.org/sso/engjpnf204/f210b80a/
engjpnf205,f734fa29,http://example.org/sso/engjpnf205/f734fa29/
engjpnf206,ecea9231,http://example.org/sso/engjpnf206/ecea9231/
engjpnf207,1c5a55ea,http://example.org/sso/engjpnf207/1c5a55ea/
engjpnf208,64fd8b4d,http://example.org/sso/engjpnf208/64fd8b4d/
engjpnf209,c1be8ee7,http://example.org/sso/engjpnf209/c1be8ee7/
engjpnf20a,484ea4ac,http://example.org/sso/engjpnf20a/484ea4ac/
engjpnf20b,39f9bb54,http://example.org/sso/engjpnf20b/39f9bb54/
engjpnf20c,dba035c3,http://example.org/sso/engjpnf20c/dba035c3/
engporf201,2c5ef61b,http://example.org/sso/engporf201/2c5ef61b/
engporf202,8aa6855a,http://example.org/sso/engporf202/8aa6855a/
engporf203,f55e74ca,http://example.org/sso/engporf203/f55e74ca/
engporf204,cbf434ac,http://example.org/sso/engporf204/cbf434ac/
engporf205,b0ecce96,http://example.org/sso/engporf205/b0ecce96/
engporf206,006cfa81,http://example.org/sso/engporf206/006cfa81/
engporf207,376b618a,http://example.org/sso/engporf207/376b618a/
engporf208,45f497bc,http://example.org/sso/engporf208/45f497bc/
engporf209,4a6bcb3a,http://example.org/sso/engporf209/4a6bcb3a/
engporf20a,ea3d140c,http://example.org/sso/engporf20a/ea3d140c/
engporf20b,8f49f175,http://example.org/sso/engporf20b/8f49f175/
engporf20c,a5104873,http://example.org/sso/engporf20c/a5104873/
engporf20d,5f951bce,http://example.org/sso/engporf20d/5f951bce/
engporf20e,fc7425b9,http://example.org/sso/engporf20e/fc7425b9/
engporf20f,19284f0a,http://example.org/sso/engporf20f/19284f0a/
engporf210,40ff4f79,http://example.org/sso/engporf210/40ff4f79/
engporf211,8a626a90,http://example.org/sso/engporf211/8a626a90/
engporf212,7255549f,http://example.org/sso/engporf212/7255549f/
engporf213,4007709d,http://example.org/sso/engporf213/4007709d/
engporf214,471e6826,http://example.org/sso/engporf214/471e6826/
engrusf201,7df9de25,http://example.org/sso/engrusf201/7df9de25/
engrusf202,def0642f,http://example.org/sso/engrusf202/def0642f/
engrusf203,6bb27c86,http://example.org/sso/engrusf203/6bb27c86/
engrusf204,392c490b,http://example.org/sso/engrusf204/392c490b/
engrusf205,b249d2e4,http://example.org/sso/engrusf205/b249d2e4/
engrusf206,07725ba8,http://example.org/sso/engrusf206/07725ba8/
engrusf207,07f48545,http://example.org/sso/engrusf207/07f48545/
engrusf208,6603a99f,http://example.org/sso/engrusf208/6603a99f/
engrusf209,1528f09b,http://example.org/sso/engrusf209/1528f09b/
engrusf20a,44e286da,http://example.org/sso/engrusf20a/44e286da/
engrusf20b,7355d72e,http://example.org/sso/engrusf20b/7355d72e/
engrusf20c,d7d3daf9,http://example.org/sso/engrusf20c/d7d3daf9/
engrusf20d,75dc9bbe,http://example.org/sso/engrusf20d/75dc9bbe/
engrusf20e,55272dce,http://example.org/sso/engrusf20e/55272dce/
engrusf20f,569aa796,http://example.org/sso/engrusf20f/569aa796/
engrusf210,c21cbc23,http://example.org/sso/engrusf210/c21cbc23/
engrusf211,49e14c99,http://example.org/sso/engrusf211/49e14c99/
engrusf212,f9d9f478,http://example.org/sso/engrusf212/f9d9f478/
engrusf213,27043ae3,http://example.org/sso/engrusf213/27043ae3/
